title,rating,ratingPeople,drive,price,habitability,quality,design,fuel
기아 올 뉴 쏘울,,,,,,,,
기아 쏘울,,,,,,,,
기아 더 뉴 카렌스,,,,,,,,
기아 올 뉴 카렌스,,,,,,,,
기아 뉴카렌스,,,,,,,,
기아 카렌스 II,,,,,,,,
기아 카렌스,,,,,,,,
기아 더 뉴 프라이드,,,,,,,,
기아 올 뉴 프라이드,,,,,,,,
기아 프라이드,,,,,,,,
기아 프라이드,,,,,,,,
기아 스토닉,,,,,,,,
기아 포르테 해치백,,,,,,,,
기아 포르테 쿱,,,,,,,,
기아 포르테,,,,,,,,
기아 오피러스 프리미엄,,,,,,,,
기아 뉴오피러스,,,,,,,,
기아 오피러스,,,,,,,,
기아 EV9,,,,,,,,
기아 EV3,,,,,,,,
기아 로체 이노베이션,,,,,,,,
기아 로체 어드밴스,,,,,,,,
기아 로체,,,,,,,,
기아 뉴포텐샤,,,,,,,,
기아 포텐샤,,,,,,,,
기아 엔터프라이즈,,,,,,,,
기아 엘란,,,,,,,,
기아 스펙트라,,,,,,,,
기아 봉고III 미니버스,,,,,,,,
기아 비스토,,,,,,,,
기아 크레도스 2,,,,,,,,
기아 크레도스,,,,,,,,
기아 파크타운,,,,,,,,
기아 레토나,,,,,,,,
기아 리갈,,,,,,,,
기아 세피아2,,,,,,,,
기아 세피아,,,,,,,,
기아 뉴쎄라토,,,,,,,,
기아 쎄라토,,,,,,,,
기아 아벨라,,,,,,,,
기아 옵티마,,,,,,,,
기아 카스타,,,,,,,,
기아 뉴콩코드,,,,,,,,
기아 콩코드,,,,,,,,
기아 EV4,,,,,,,,
기아 X-TREK,,,,,,,,
기아 델타,,,,,,,,
기아 록스타 R2,,,,,,,,
기아 록스타,,,,,,,,
기아 리오,,,,,,,,
기아 하이베스타,,,,,,,,
기아 베스타,,,,,,,,
기아 브리샤,,,,,,,,
기아 슈마,,,,,,,,
기아 씨드,,,,,,,,
기아 캐피탈,,,,,,,,
기아 타스만,,,,,,,,
기아 타우너,,,,,,,,
기아 토픽,,,,,,,,
기아 텔루라이드,,,,,,,,
기아 프레지오,,,,,,,,
기아 피아트132,,,,,,,,
쉐보레(GM대우) 더 뉴 스파크,,,,,,,,
쉐보레(GM대우) 더 넥스트 스파크,,,,,,,,
쉐보레(GM대우) 스파크 EV,,,,,,,,
쉐보레(GM대우) 스파크,,,,,,,,
쉐보레(GM대우) 트랙스 크로스오버,,,,,,,,
쉐보레(GM대우) 더 뉴 트랙스,,,,,,,,
쉐보레(GM대우) 트랙스,,,,,,,,
