title,rating,ratingPeople,drive,price,habitability,quality,design,fuel
현대 갤로퍼,8.3,21,8.1,8.4,8.6,8.3,9.4,6.8
현대 테라칸,8.2,68,8.7,8.6,8.8,8.8,8.6,5.9
현대 투스카니,8.4,30,9.2,9.4,8.3,8.3,9.2,6.3
현대 투스카니,8.4,30,9.2,9.4,8.3,8.3,9.2,6.3
현대 베르나 트랜스폼,8.4,22,8.3,9.5,8.3,8.1,7.7,8.6
현대 베르나,8.4,22,8.3,9.5,8.3,8.1,7.7,8.6
현대 New 베르나,8.4,22,8.3,9.5,8.3,8.1,7.7,8.6
현대 베르나,8.4,22,8.3,9.5,8.3,8.1,7.7,8.6
현대 다이너스티,,,,,,,,
현대 티뷰론,7.3,10,7.6,7.7,5.8,6.8,8.2,7.8
현대 엑셀,10,2,10,10,10,10,10,10
현대 포니투,,,,,,,,
현대 포니,,,,,,,,
현대 ST1,7.4,10,9.3,5.3,6.7,6.1,8.2,9
현대 아토스,8.3,7,8,9.7,8.1,7.7,8.6,7.7
현대 뉴엘란트라,8.4,5,8.4,7,9.2,8.8,8.6,8.2
현대 엘란트라,8.4,5,8.4,7,9.2,8.8,8.6,8.2
현대 마르샤,7.7,6,8,7.2,8.2,8.8,8.7,5.3
현대 산타모,9.1,16,9.1,8.8,9.3,9,9.7,8.9
현대 아이오닉9,9.3,9,10,8.2,10,9.6,8.2,10
현대 뉴 클릭,,,,,,,,
현대 클릭 하이브리드,,,,,,,,
현대 클릭,,,,,,,,
현대 트라제 XG,8.6,84,8.9,9,9.3,8.2,8.7,7.3
현대 스텔라,,,,,,,,
현대 그라나다,,,,,,,,
현대 뉴그레이스,,,,,,,,
현대 그레이스,,,,,,,,
현대 라비타,8.5,7,7.7,8.9,9.1,9,9.3,7
현대 블루온,,,,,,,,
현대 스쿠프,2.7,1,5,4,3,1,1,2
현대 코티나,,,,,,,,
현대 프레스토,,,,,,,,
제네시스 일렉트리파이드 G80,,,,,,,,
제네시스 G80,8.8,104,9.5,8.1,9.5,9.3,9.7,6.6
제네시스 G80,8.8,104,9.5,8.1,9.5,9.3,9.7,6.6
