carName,trim,engine,compressor,exhaust,gas,output,torque,fuel,lengthWidth,weight,shift,carType,year,image,price
현대 그랜저 IG,2.5 가솔린,I4,자연흡기,"2,497cc",가솔린,198hp,25.3kg.m,11.1~11.9km/ℓ,"4,990mm / 1,875mm","1,575~1,625kg",자동8단,준대형 세단,2022.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220511_190%2Fauto_16522337997520h52J_PNG%2F20220511104952_pcU0etAp.png,"3,392~4,486만원"
현대 그랜저 IG,3.3 가솔린,V6,자연흡기,"3,342cc",가솔린,290hp,35kg.m,9.6~9.7km/ℓ,"4,990mm / 1,875mm","1,660~1,670kg",자동8단,준대형 세단,2022.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220511_190%2Fauto_16522337997520h52J_PNG%2F20220511104952_pcU0etAp.png,"3,392~4,486만원"
현대 그랜저 IG,3.0 LPi,V6,자연흡기,"2,999cc",LPG,235hp,28.6kg.m,7.4~7.5km/ℓ,"4,990mm / 1,875mm","1,640~1,665kg",자동6단,준대형 세단,2022.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220511_190%2Fauto_16522337997520h52J_PNG%2F20220511104952_pcU0etAp.png,"3,392~4,486만원"
현대 그랜저 HG 하이브리드,자료없음,자료없음,자료없음,자료없음,자료없음,자료없음,자료없음,자료없음,자료없음,자료없음,자료없음,자료없음,자료없음,자료없음,자료없음
현대 그랜저 HG,HG240,I4,자연흡기,"2,359cc",가솔린,190hp,24.6kg.m,10.4~11.3km/ℓ,"4,920mm / 1,860mm","1,575~1,590kg",자동6단,준대형 세단,2016.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190829_219%2Fauto_1567042351547iLE90_PNG%2F20190829103229_CtM0H8j5.png,"3,090~4,132만원"
현대 그랜저 HG,HG220,I4,싱글터보,"2,199cc",디젤,202hp,45kg.m,13.8~14km/ℓ,"4,920mm / 1,860mm","1,691~1,700kg",자동6단,준대형 세단,2016.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190829_219%2Fauto_1567042351547iLE90_PNG%2F20190829103229_CtM0H8j5.png,"3,090~4,132만원"
현대 그랜저 HG,HG300,V6,자연흡기,"2,999cc",가솔린,270hp,31.6kg.m,10.4km/ℓ,"4,920mm / 1,860mm","1,590kg",자동6단,준대형 세단,2016.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190829_219%2Fauto_1567042351547iLE90_PNG%2F20190829103229_CtM0H8j5.png,"3,090~4,132만원"
현대 더 럭셔리 그랜저,Q240,I4,자연흡기,"2,359cc",가솔린,179hp,23.5kg.m,11.3km/ℓ,"4,910mm / 1,850mm","1,565kg",자동6단,준대형 세단,2010.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191106_150%2Fauto_1573027209291YSkqL_PNG%2F20191106170007_YozPnoW5.png,"2,713~4,018만원"
현대 더 럭셔리 그랜저,Q270,V6,자연흡기,"2,656cc",가솔린,195hp,25.6kg.m,10.6km/ℓ,"4,910mm / 1,850mm","1,577kg",자동6단,준대형 세단,2010.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191106_150%2Fauto_1573027209291YSkqL_PNG%2F20191106170007_YozPnoW5.png,"2,713~4,018만원"
현대 더 럭셔리 그랜저,L330,V6,자연흡기,"3,342cc",가솔린,259hp,32.2kg.m,10.1km/ℓ,"4,910mm / 1,850mm","1,680kg",자동6단,준대형 세단,2010.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191106_150%2Fauto_1573027209291YSkqL_PNG%2F20191106170007_YozPnoW5.png,"2,713~4,018만원"
현대 그랜저 뉴 럭셔리,Q240,I4,자연흡기,"2,359cc",가솔린,179hp,23.5kg.m,11.3km/ℓ,"4,895mm / 1,850mm","1,565kg",자동6단,준대형 세단,2009.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240718_24%2Fauto_1721274948889VQB6m_PNG%2F20240718125547_2bKbWVyT.png,"2,643~4,080만원"
현대 그랜저 뉴 럭셔리,Q270,V6,자연흡기,"2,656cc",가솔린,195hp,25.6kg.m,10.6km/ℓ,"4,895mm / 1,850mm","1,577kg",자동6단,준대형 세단,2009.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240718_24%2Fauto_1721274948889VQB6m_PNG%2F20240718125547_2bKbWVyT.png,"2,643~4,080만원"
현대 그랜저 뉴 럭셔리,L330,V6,자연흡기,"3,342cc",가솔린,259hp,32.2kg.m,10.1km/ℓ,"4,895mm / 1,850mm","1,680kg",자동6단,준대형 세단,2009.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240718_24%2Fauto_1721274948889VQB6m_PNG%2F20240718125547_2bKbWVyT.png,"2,643~4,080만원"
현대 그랜저 TG,Q240,I4,자연흡기,"2,359cc",가솔린,164hp,22.7kg.m,216km/h,"4,895mm / 1,865mm","1,565~1,603kg",자동5단,준대형 세단,2007.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240718_8%2Fauto_1721274926897IDQ4h_PNG%2F20240718125525_J4Zr4nJY.png,"2,513~4,059만원"
현대 그랜저 TG,Q270,V6,자연흡기,"2,656cc",가솔린,192hp,25.5kg.m,216km/h,"4,895mm / 1,865mm","1,603kg",자동5단,준대형 세단,2007.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240718_8%2Fauto_1721274926897IDQ4h_PNG%2F20240718125525_J4Zr4nJY.png,"2,513~4,059만원"
현대 그랜저 TG,L330,V6,자연흡기,"3,342cc",가솔린,233hp,31kg.m,230km/h,"4,895mm / 1,850mm","1,603kg",자동5단,준대형 세단,2007.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240718_8%2Fauto_1721274926897IDQ4h_PNG%2F20240718125525_J4Zr4nJY.png,"2,513~4,059만원"
현대 그랜저 TG,S380,V6,자연흡기,"3,778cc",가솔린,264hp,35.5kg.m,230km/h,"4,895mm / 1,850mm","1,603kg",자동5단,준대형 세단,2007.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240718_8%2Fauto_1721274926897IDQ4h_PNG%2F20240718125525_J4Zr4nJY.png,"2,513~4,059만원"
현대 뉴 그랜저 XG,R20,V6,자연흡기,"1,998cc",가솔린,137hp,18kg.m,203km/h,"4,875mm / 1,825mm","1,550kg",자동4단,준대형 세단,2004.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190909_119%2Fauto_1568002038781XDVaJ_PNG%2F20190909130716_ZyUEaPLi.png,"2,116~3,174만원"
현대 뉴 그랜저 XG,S20,V6,자연흡기,"1,998cc",가솔린,137hp,18kg.m,203km/h,"4,875mm / 1,825mm","1,550kg",자동4단,준대형 세단,2004.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190909_119%2Fauto_1568002038781XDVaJ_PNG%2F20190909130716_ZyUEaPLi.png,"2,116~3,174만원"
현대 뉴 그랜저 XG,R25,V6,자연흡기,"2,493cc",가솔린,172hp,22.9kg.m,205km/h,"4,875mm / 1,825mm","1,577kg",자동4단,준대형 세단,2004.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190909_119%2Fauto_1568002038781XDVaJ_PNG%2F20190909130716_ZyUEaPLi.png,"2,116~3,174만원"
현대 뉴 그랜저 XG,S25,V6,자연흡기,"2,493cc",가솔린,172hp,22.9kg.m,205km/h,"4,875mm / 1,825mm","1,577kg",자동4단,준대형 세단,2004.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190909_119%2Fauto_1568002038781XDVaJ_PNG%2F20190909130716_ZyUEaPLi.png,"2,116~3,174만원"
현대 뉴 그랜저 XG,S30,V6,자연흡기,"2,972cc",가솔린,182hp,25.7kg.m,205km/h,"4,875mm / 1,825mm","1,666kg",자동5단,준대형 세단,2004.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190909_119%2Fauto_1568002038781XDVaJ_PNG%2F20190909130716_ZyUEaPLi.png,"2,116~3,174만원"
현대 그랜저 XG,R20,V6,자연흡기,"1,998cc",가솔린,137hp,18kg.m,203km/h,"4,875mm / 1,825mm","1,550kg",자동4단,준대형 세단,2004.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190909_119%2Fauto_1568002038781XDVaJ_PNG%2F20190909130716_ZyUEaPLi.png,"2,116~3,174만원"
현대 그랜저 XG,S20,V6,자연흡기,"1,998cc",가솔린,137hp,18kg.m,203km/h,"4,875mm / 1,825mm","1,550kg",자동4단,준대형 세단,2004.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190909_119%2Fauto_1568002038781XDVaJ_PNG%2F20190909130716_ZyUEaPLi.png,"2,116~3,174만원"
현대 그랜저 XG,R25,V6,자연흡기,"2,493cc",가솔린,172hp,22.9kg.m,205km/h,"4,875mm / 1,825mm","1,577kg",자동4단,준대형 세단,2004.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190909_119%2Fauto_1568002038781XDVaJ_PNG%2F20190909130716_ZyUEaPLi.png,"2,116~3,174만원"
현대 그랜저 XG,S25,V6,자연흡기,"2,493cc",가솔린,172hp,22.9kg.m,205km/h,"4,875mm / 1,825mm","1,577kg",자동4단,준대형 세단,2004.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190909_119%2Fauto_1568002038781XDVaJ_PNG%2F20190909130716_ZyUEaPLi.png,"2,116~3,174만원"
현대 그랜저 XG,S30,V6,자연흡기,"2,972cc",가솔린,182hp,25.7kg.m,205km/h,"4,875mm / 1,825mm","1,666kg",자동5단,준대형 세단,2004.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190909_119%2Fauto_1568002038781XDVaJ_PNG%2F20190909130716_ZyUEaPLi.png,"2,116~3,174만원"
현대 뉴 그랜저,2.5 가솔린,I4,자연흡기,"2,497cc",가솔린,198hp,25.3kg.m,11.2~11.7km/ℓ,"5,035mm / 1,880mm","1,620~1,655kg",자동8단,준대형 세단,2025.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240605_156%2Fauto_1717549536109w4xp7_PNG%2F20240605100529_slRrSjgt.png,"3,711~5,241만원"
현대 뉴 그랜저,3.5 가솔린,V6,자연흡기,"3,470cc",가솔린,300hp,36.6kg.m,9.7~10.4km/ℓ,"5,035mm / 1,880mm","1,695~1,730kg",자동8단,준대형 세단,2025.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240605_156%2Fauto_1717549536109w4xp7_PNG%2F20240605100529_slRrSjgt.png,"3,711~5,241만원"
현대 뉴 그랜저,3.5 가솔린 AWD,V6,자연흡기,"3,470cc",가솔린,300hp,36.6kg.m,9~9.5km/ℓ,"5,035mm / 1,880mm","1,765~1,800kg",자동8단,준대형 세단,2025.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240605_156%2Fauto_1717549536109w4xp7_PNG%2F20240605100529_slRrSjgt.png,"3,711~5,241만원"
현대 뉴 그랜저,3.5 LPG,V6,자연흡기,"3,470cc",LPG,240hp,32kg.m,7.8km/ℓ,"5,035mm / 1,880mm","1,715kg",자동8단,준대형 세단,2025.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240605_156%2Fauto_1717549536109w4xp7_PNG%2F20240605100529_slRrSjgt.png,"3,711~5,241만원"
현대 더 뉴 아반떼,1.6 가솔린,I4,자연흡기,"1,598cc",가솔린,123hp,15.7kg.m,14.3~15km/ℓ,"4,710mm / 1,825mm","1,260~1,270kg",CVT,준중형 세단,2026.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250415_83%2Fauto_17446778054787Xeo6_PNG%2F20250415094318_JFFIizf8.png,"2,034~2,842만원"
현대 더 뉴 아반떼,1.6 가솔린 N라인,I4,자연흡기,"1,598cc",가솔린,123hp,15.7kg.m,13.8km/ℓ,"4,710mm / 1,825mm","1,320kg",CVT,준중형 세단,2026.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250415_83%2Fauto_17446778054787Xeo6_PNG%2F20250415094318_JFFIizf8.png,"2,034~2,842만원"
현대 더 뉴 아반떼,1.6 LPi,I4,자연흡기,"1,591cc",LPG,120hp,15.5kg.m,10.2~10.5km/ℓ,"4,710mm / 1,825mm","1,260~1,280kg",자동6단,준중형 세단,2026.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250415_83%2Fauto_17446778054787Xeo6_PNG%2F20250415094318_JFFIizf8.png,"2,034~2,842만원"
현대 더 뉴 아반떼 하이브리드,1.6 HEV,I4,자연흡기,"1,580cc",자료없음,"141hp,105hp",15kg.m,19.2~21.1km/ℓ,"4,710mm / 1,825mm","1,355~1,370kg",DCT6단,준중형 세단,2026.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250415_134%2Fauto_1744677854020RdN5R_PNG%2F20250415094407_9W84OGSq.png,"2,523~3,184만원"
현대 더 뉴 아반떼 하이브리드,1.6 HEV N라인,I4,자연흡기,"1,580cc",자료없음,"141hp,105hp",15kg.m,19.2km/ℓ,"4,710mm / 1,825mm","1,370kg",DCT6단,준중형 세단,2026.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250415_134%2Fauto_1744677854020RdN5R_PNG%2F20250415094407_9W84OGSq.png,"2,523~3,184만원"
현대 아반떼 하이브리드,1.6 HEV,I4,자연흡기,"1,580cc",자료없음,"141hp,105hp",15kg.m,19.2~21.1km/ℓ,"4,710mm / 1,825mm","1,355~1,370kg",DCT6단,준중형 세단,2026.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250415_134%2Fauto_1744677854020RdN5R_PNG%2F20250415094407_9W84OGSq.png,"2,523~3,184만원"
현대 아반떼 하이브리드,1.6 HEV N라인,I4,자연흡기,"1,580cc",자료없음,"141hp,105hp",15kg.m,19.2km/ℓ,"4,710mm / 1,825mm","1,370kg",DCT6단,준중형 세단,2026.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250415_134%2Fauto_1744677854020RdN5R_PNG%2F20250415094407_9W84OGSq.png,"2,523~3,184만원"
현대 아반떼,1.6 가솔린,I4,자연흡기,"1,598cc",가솔린,123hp,15.7kg.m,14.3~15km/ℓ,"4,710mm / 1,825mm","1,260~1,270kg",CVT,준중형 세단,2026.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250415_83%2Fauto_17446778054787Xeo6_PNG%2F20250415094318_JFFIizf8.png,"2,034~2,842만원"
현대 아반떼,1.6 가솔린 N라인,I4,자연흡기,"1,598cc",가솔린,123hp,15.7kg.m,13.8km/ℓ,"4,710mm / 1,825mm","1,320kg",CVT,준중형 세단,2026.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250415_83%2Fauto_17446778054787Xeo6_PNG%2F20250415094318_JFFIizf8.png,"2,034~2,842만원"
현대 아반떼,1.6 LPi,I4,자연흡기,"1,591cc",LPG,120hp,15.5kg.m,10.2~10.5km/ℓ,"4,710mm / 1,825mm","1,260~1,280kg",자동6단,준중형 세단,2026.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250415_83%2Fauto_17446778054787Xeo6_PNG%2F20250415094318_JFFIizf8.png,"2,034~2,842만원"
현대 더 뉴 아반떼 AD,1.6 가솔린,l4,자연흡기,"1,598cc",가솔린,123hp,15.7kg.m,14~15.2km/ℓ,"4,620mm / 1,800mm","1,230~1,290kg",수동6단,준중형 세단,2019.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190603_129%2Fauto_15595466204799Xz4W_PNG%2F20190603162330_1sKBE4E9.png,"1,376~2,454만원"
현대 더 뉴 아반떼 AD,1.6 가솔린 터보,I4,싱글터보,"1,591cc",가솔린,204hp,27kg.m,11.6~12km/ℓ,"4,620mm / 1,800mm","1,350~1,380kg",수동6단,준중형 세단,2019.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190603_129%2Fauto_15595466204799Xz4W_PNG%2F20190603162330_1sKBE4E9.png,"1,376~2,454만원"
현대 더 뉴 아반떼 AD,1.6 디젤,l4,싱글터보,"1,582cc",디젤,136hp,30.6kg.m,17.8km/ℓ,"4,620mm / 1,800mm","1,355kg",DCT7단,준중형 세단,2019.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190603_129%2Fauto_15595466204799Xz4W_PNG%2F20190603162330_1sKBE4E9.png,"1,376~2,454만원"
현대 더 뉴 아반떼 AD,1.6 LPi,l4,자연흡기,"1,591cc",LPG,120hp,15.5kg.m,10.6km/ℓ,"4,620mm / 1,800mm","1,270kg",자동6단,준중형 세단,2019.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190603_129%2Fauto_15595466204799Xz4W_PNG%2F20190603162330_1sKBE4E9.png,"1,376~2,454만원"
현대 아반떼 AD,1.6 가솔린,l4,자연흡기,"1,598cc",가솔린,123hp,15.7kg.m,14~15.2km/ℓ,"4,620mm / 1,800mm","1,230~1,290kg",수동6단,준중형 세단,2019.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190603_129%2Fauto_15595466204799Xz4W_PNG%2F20190603162330_1sKBE4E9.png,"1,376~2,454만원"
현대 아반떼 AD,1.6 가솔린 터보,I4,싱글터보,"1,591cc",가솔린,204hp,27kg.m,11.6~12km/ℓ,"4,620mm / 1,800mm","1,350~1,380kg",수동6단,준중형 세단,2019.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190603_129%2Fauto_15595466204799Xz4W_PNG%2F20190603162330_1sKBE4E9.png,"1,376~2,454만원"
현대 아반떼 AD,1.6 디젤,l4,싱글터보,"1,582cc",디젤,136hp,30.6kg.m,17.8km/ℓ,"4,620mm / 1,800mm","1,355kg",DCT7단,준중형 세단,2019.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190603_129%2Fauto_15595466204799Xz4W_PNG%2F20190603162330_1sKBE4E9.png,"1,376~2,454만원"
현대 아반떼 AD,1.6 LPi,l4,자연흡기,"1,591cc",LPG,120hp,15.5kg.m,10.6km/ℓ,"4,620mm / 1,800mm","1,270kg",자동6단,준중형 세단,2019.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190603_129%2Fauto_15595466204799Xz4W_PNG%2F20190603162330_1sKBE4E9.png,"1,376~2,454만원"
현대 아반떼 쿠페,2.0 가솔린,자료없음,자연흡기,"1,999cc",가솔린,215hp,21.3kg.m,12.4~12.8km/ℓ,"4,540mm / 1,775mm","1,216~1,239kg",수동6단,준중형 쿠페,2015.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190827_39%2Fauto_1566911774207KFGTc_PNG%2F20190827221611_UDSpVo7a.png,"1,690~2,315만원"
현대 아반떼 MD,1.6 GDi,자료없음,자료없음,"1,591cc",가솔린,17kg.m,자료없음,14~14.1km/ℓ,"4,550mm / 1,775mm","1,210~1,245kg",수동6단,준중형 세단,2015.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191231_204%2Fauto_1577754557329zPpEi_PNG%2F20191231100915_rGueCGgf.png,"1,384~2,155만원"
현대 아반떼 MD,1.6 VGT,자료없음,자료없음,"1,591cc",디젤,28.5kg.m,자료없음,16.2~18.5km/ℓ,"4,550mm / 1,775mm","1,305~1,335kg",수동6단,준중형 세단,2015.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191231_204%2Fauto_1577754557329zPpEi_PNG%2F20191231100915_rGueCGgf.png,"1,384~2,155만원"
현대 아반떼 하이브리드,1.6 HEV,I4,자연흡기,"1,580cc",전기,"141hp,105hp",15kg.m,19.2~21.1km/ℓ,"4,710mm / 1,825mm","1,355~1,370kg",DCT6단,준중형 세단,2026.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250415_134%2Fauto_1744677854020RdN5R_PNG%2F20250415094407_9W84OGSq.png,"2,523~3,184만원"
현대 아반떼 하이브리드,1.6 HEV N라인,I4,자연흡기,"1,580cc",전기,"141hp,105hp",15kg.m,19.2km/ℓ,"4,710mm / 1,825mm","1,370kg",DCT6단,준중형 세단,2026.0,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250415_134%2Fauto_1744677854020RdN5R_PNG%2F20250415094407_9W84OGSq.png,"2,523~3,184만원"
현대 아반떼 HD,디젤 1.6 VGT,1.6 VGT,자료없음,"1,591cc",디젤,26.5kg.m,자료없음,16.5~21km/ℓ,"4,505mm / 1,775mm","1,274~1,280kg",수동5단,준중형 세단,2008.0,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_16%2Fauto_1497939473146E2BgJ_PNG%2F11239_2008_HD.png,"1,140~2,090만원"
