name,car_type,year,image,price
현대 싼타페 CM,중형 SUV,2012,https://search.pstatic.net/common?quality=75&direct=true&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_198%2Fauto_1496048163685lFaXb_PNG%2F15682_2012_.png,"2,705~3,481만원"
현대 싼타페,중형 SUV,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240827_230%2Fauto_1724724431789AShlF_PNG%2F20240827110701_bEbt8XxV.png,"3,492~4,598만원"
현대 쏘나타 디 엣지,중형 세단,2024,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230503_144%2Fauto_1683080196979gP0vc_PNG%2F20230503111631_b0ABwRey.png,"2,808~3,917만원"
현대 쏘나타 하이브리드,중형 세단,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20241028_158%2Fauto_1730081729188VdqML_PNG%2F20241028111522_XpctZNcj.png,"3,232~3,912만원"
현대 쏘나타,중형 세단,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20241028_141%2Fauto_17300817026910c4Rp_PNG%2F20241028111455_7lXQcvxQ.png,"2,788~3,869만원"
현대 쏘나타 뉴 라이즈 하이브리드,중형 세단,2018,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180313_136%2Fauto_1520922317542RjYmJ_PNG%2F20180313152505_7isO9cDP.png,"2,854~3,299만원"
현대 쏘나타 뉴 라이즈,중형 세단,2018,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180719_13%2Fauto_15319681726619j2Ia_PNG%2F20180719114245_XusDxRwk.png,"2,219~3,233만원"
현대 LF 쏘나타 하이브리드,중형 세단,2015,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170526_155%2Fauto_1495799747099i1vEG_PNG%2F56143_2015__.png,"2,829~3,139만원"
현대 LF 쏘나타,중형 세단,2015,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190918_233%2Fauto_1568779215065MxNIr_PNG%2F20190918130013_Uzg8jWUC.png,"2,255~3,210만원"
현대 쏘나타 더 브릴리언트,중형 세단,2014,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_59%2Fauto_1496048979932ArK06_PNG%2F33221_2014___.png,"2,040~3,190만원"
현대 쏘나타 하이브리드,중형 세단,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20241028_158%2Fauto_1730081729188VdqML_PNG%2F20241028111522_XpctZNcj.png,"3,232~3,912만원"
현대 YF 쏘나타,중형 세단,2014,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_59%2Fauto_1496048979932ArK06_PNG%2F33221_2014___.png,"2,040~3,190만원"
현대 NF 쏘나타,중형 세단,2006,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200420_155%2Fauto_1587361148600EQW9t_PNG%2F20200420143906_7vt9Bten.png,"2,073~3,275만원"
현대 뉴 EF 쏘나타,중형 세단,2001,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_37%2Fauto_1497939943707N7gHP_PNG%2F13059_2004__EF_.png,"1,252~2,589만원"
현대 EF 쏘나타,중형 세단,1998,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200420_299%2Fauto_1587362627062lBJqM_PNG%2F20200420150345_YIwekf92.png,"1,189~2,635만원"
현대 쏘나타,중형 세단,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20241028_141%2Fauto_17300817026910c4Rp_PNG%2F20241028111455_7lXQcvxQ.png,"2,788~3,869만원"
현대 더 뉴 투싼,준중형 SUV,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20241119_273%2Fauto_1731981562420oK4kV_PNG%2F20241119105911_BkBC6EPM.png,"2,729~3,950만원"
현대 더 뉴 투싼 하이브리드,준중형 SUV,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20241119_73%2Fauto_1731981590038B4nDG_PNG%2F20241119105941_xECSj6X7.png,"3,205~4,142만원"
현대 투싼,준중형 SUV,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20241119_273%2Fauto_1731981562420oK4kV_PNG%2F20241119105911_BkBC6EPM.png,"2,729~3,950만원"
현대 투싼 하이브리드,준중형 SUV,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20241119_73%2Fauto_1731981590038B4nDG_PNG%2F20241119105941_xECSj6X7.png,"3,205~4,142만원"
현대 올 뉴 투싼,준중형 SUV,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20241119_273%2Fauto_1731981562420oK4kV_PNG%2F20241119105911_BkBC6EPM.png,"2,729~3,950만원"
현대 뉴 투싼 ix,준중형 SUV,2014,https://search.pstatic.net/common?quality=75&direct=true&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_103%2Fauto_1496048861918YJjKw_PNG%2F30061_2014_ix.png,"1,970~2,930만원"
현대 투싼 ix,준중형 SUV,2014,https://search.pstatic.net/common?quality=75&direct=true&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_103%2Fauto_1496048861918YJjKw_PNG%2F30061_2014_ix.png,"1,970~2,930만원"
현대 투싼,준중형 SUV,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20241119_273%2Fauto_1731981562420oK4kV_PNG%2F20241119105911_BkBC6EPM.png,"2,729~3,950만원"
현대 팰리세이드,준대형 SUV,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20241220_1%2Fauto_1734667258508uNicR_PNG%2F20241220130052_WrQhHvcj.png,"4,383~5,946만원"
현대 더 뉴 팰리세이드,준대형 SUV,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20241220_1%2Fauto_1734667258508uNicR_PNG%2F20241220130052_WrQhHvcj.png,"4,383~5,946만원"
현대 팰리세이드,준대형 SUV,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20241220_1%2Fauto_1734667258508uNicR_PNG%2F20241220130052_WrQhHvcj.png,"4,383~5,946만원"
현대 더 뉴 그랜드 스타렉스,대형 RV,2020,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200408_109%2Fauto_1586332443892p2cL7_PNG%2F20200408165402_uOJByyzI.png,"2,209~3,280만원"
현대 그랜드 스타렉스,대형 RV,2020,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200408_109%2Fauto_1586332443892p2cL7_PNG%2F20200408165402_uOJByyzI.png,"2,209~3,280만원"
현대 스타렉스,대형 RV,2020,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200408_109%2Fauto_1586332443892p2cL7_PNG%2F20200408165402_uOJByyzI.png,"2,209~3,280만원"
현대 스타리아,대형 RV,2024,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240228_194%2Fauto_1709084014103OTrQY_PNG%2F20240228103326_w4gB76Mq.png,"2,637~4,417만원"
현대 제네시스 DH,준대형 세단,2019,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190926_205%2Fauto_1569458601361cYc9z_PNG%2F20190926094317_foU3MaFj.png,"4,847~7,337만원"
현대 코나 일렉트릭,소형 SUV,2024,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240304_58%2Fauto_1709516226693rIcLw_PNG%2F20240304103659_BJ7901Nx.png,"4,142~5,086만원"
현대 코나,소형 SUV,2024,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240206_139%2Fauto_1707181934006TNy1l_PNG%2F20240206101206_ZDfkBanu.png,"2,409~3,373만원"
현대 코나 하이브리드,소형 SUV,2024,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240206_157%2Fauto_1707181997576PuycQ_PNG%2F20240206101311_OxZAbw7o.png,"2,955~3,580만원"
현대 더 뉴 코나,소형 SUV,2024,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240206_139%2Fauto_1707181934006TNy1l_PNG%2F20240206101206_ZDfkBanu.png,"2,409~3,373만원"
현대 더 뉴 코나 하이브리드,소형 SUV,2024,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240206_157%2Fauto_1707181997576PuycQ_PNG%2F20240206101311_OxZAbw7o.png,"2,955~3,580만원"
현대 코나 하이브리드,소형 SUV,2024,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240206_157%2Fauto_1707181997576PuycQ_PNG%2F20240206101311_OxZAbw7o.png,"2,955~3,580만원"
현대 코나 일렉트릭,소형 SUV,2024,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240304_58%2Fauto_1709516226693rIcLw_PNG%2F20240304103659_BJ7901Nx.png,"4,142~5,086만원"
현대 코나,소형 SUV,2024,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240206_139%2Fauto_1707181934006TNy1l_PNG%2F20240206101206_ZDfkBanu.png,"2,409~3,373만원"
현대 더 뉴 캐스퍼,경형 SUV,2025,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20241017_99%2Fauto_17291437105452FLrA_PNG%2F20241017144135_hHPOmLfr.png,"1,450~2,070만원"
현대 캐스퍼 일렉트릭,소형 SUV,2025,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240701_11%2Fauto_1719807003663gLEYY_PNG%2F20240701130953_0iie48em.png,"2,740~3,190만원"
현대 캐스퍼,경형 SUV,2025,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20241017_99%2Fauto_17291437105452FLrA_PNG%2F20241017144135_hHPOmLfr.png,"1,450~2,070만원"
현대 에쿠스,대형 세단,2015,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191128_114%2Fauto_1574920869337nOXTj_PNG%2F20191128150107_69V7pu20.png,"6,783~10,946만원"
현대 에쿠스,대형 세단,2015,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191128_114%2Fauto_1574920869337nOXTj_PNG%2F20191128150107_69V7pu20.png,"6,783~10,946만원"
현대 더 뉴 아이오닉5,준중형 SUV,2024,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240304_292%2Fauto_1709523829766HeDD9_PNG%2F20240304124342_Lm9tu5xR.png,"4,700~6,242만원"
현대 아이오닉5,준중형 SUV,2024,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240304_292%2Fauto_1709523829766HeDD9_PNG%2F20240304124342_Lm9tu5xR.png,"4,700~6,242만원"
현대 엑센트,소형 세단,2023,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230323_49%2Fauto_16795380406757l2y1_PNG%2F20230323112032_4HNQyis6.png,가격정보 없음
현대 뉴 엑센트,소형 세단,2023,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230323_49%2Fauto_16795380406757l2y1_PNG%2F20230323112032_4HNQyis6.png,가격정보 없음
현대 엑센트,소형 세단,2023,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230323_49%2Fauto_16795380406757l2y1_PNG%2F20230323112032_4HNQyis6.png,가격정보 없음
현대 베뉴,소형 SUV,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250403_207%2Fauto_1743644868517BwDU4_PNG%2F20250403104741_xGPqQ6Md.png,"1,926~2,386만원"
현대 벨로스터,준중형 해치백,2020,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200421_170%2Fauto_1587434183783RkTAj_PNG%2F20200421105612_y5OBONG9.png,"3,019~3,460만원"
현대 더 뉴 벨로스터,준중형 해치백,2018,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180710_260%2Fauto_1531207656093z9k3e_PNG%2F20180710162727_DO99LyWf.png,"2,096~2,635만원"
현대 벨로스터,준중형 해치백,2020,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200421_170%2Fauto_1587434183783RkTAj_PNG%2F20200421105612_y5OBONG9.png,"3,019~3,460만원"
현대 넥쏘,중형 SUV,2024,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230609_91%2Fauto_1686271870675BEwRW_PNG%2F20230609095104_QYxQ6cTX.png,"6,950만원"
현대 i30,준중형 세단,2024,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240326_222%2Fauto_1711420016543fLkxW_PNG%2F20240326112644_c89JYzz9.png,가격정보 없음
현대 더 뉴 i30,준중형 해치백,2024,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240326_268%2Fauto_1711419748774Jo2rd_PNG%2F20240326112218_Z53n11Qj.png,가격정보 없음
현대 i30,준중형 세단,2024,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240326_222%2Fauto_1711420016543fLkxW_PNG%2F20240326112644_c89JYzz9.png,가격정보 없음
현대 i30,준중형 세단,2024,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240326_222%2Fauto_1711420016543fLkxW_PNG%2F20240326112644_c89JYzz9.png,가격정보 없음
현대 더 뉴 아이오닉 일렉트릭,준중형 해치백,2019,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190430_203%2Fauto_1556604075159UpMFv_PNG%2F20190430150027_9dMRPQmv.png,"4,140~4,440만원"
현대 더 뉴 아이오닉 하이브리드,준중형 해치백,2019,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190830_71%2Fauto_1567130867503OVoEq_PNG%2F20190830110744_dEIuxsXi.png,"2,242~2,693만원"
현대 아이오닉 일렉트릭,준중형 해치백,2019,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190430_203%2Fauto_1556604075159UpMFv_PNG%2F20190430150027_9dMRPQmv.png,"4,140~4,440만원"
현대 아이오닉 하이브리드,준중형 해치백,2019,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190830_71%2Fauto_1567130867503OVoEq_PNG%2F20190830110744_dEIuxsXi.png,"2,242~2,693만원"
현대 더 뉴 i40,중형 왜건,2018,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180719_67%2Fauto_1531968067286uHoJN_PNG%2F20180719114058_t2dNsMCA.png,"2,576~2,806만원"
